#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
        448          0.5          1.0        0.378        0.996    4.726E-08    1.244E-07       293.43       154.57
        480          0.5          1.0        0.344        0.982    3.318E-08    9.462E-08       317.07       162.93
        512          0.5          1.0        0.312        0.992    2.065E-08    6.559E-08       340.05       171.95
        544          0.5          1.0        0.281        0.988    9.582E-09    3.365E-08       362.36       181.64
        575          0.5          1.0        0.251        0.989    2.746E-10    1.082E-09       383.33       191.67

# E_nn = 0.5 E_site = 2.0
          1          0.5          2.0        1.009        1.009    2.030E-07    2.030E-07     2.13E-01     7.87E-01
         32          0.5          2.0        0.902        0.975     1.73E-07     1.86E-07         7.06        24.94
         64          0.5          2.0        0.808        0.920    1.462E-07    1.663E-07        14.81        49.19
         96          0.5          2.0        0.722        0.882    1.228E-07    1.500E-07        23.74        72.26
        128          0.5          2.0        0.653        0.879    1.041E-07    1.403E-07        34.52        93.48
        160          0.5          2.0        0.599        0.838    8.926E-08    1.248E-07        47.95       112.05
        192          0.5          2.0        0.564        0.841    7.825E-08    1.166E-07        64.78       127.22
        224          0.5          2.0        0.542        0.853    6.993E-08    1.101E-07        85.12       138.88
        256          0.5          2.0        0.526        0.879    6.286E-08    1.051E-07       108.45       147.55
        288          0.5          2.0        0.509        0.873    5.613E-08    9.632E-08       133.93       154.07
        320          0.5          2.0        0.490        0.926    4.952E-08    9.354E-08       160.80       159.20
        352          0.5          2.0        0.466        0.940    4.250E-08    8.580E-08       188.49       163.51
        384          0.5          2.0        0.439        0.943    3.552E-08    7.635E-08       216.63       167.37
        416          0.5          2.0        0.409        0.972    2.853E-08    6.790E-08       244.93       171.07
        448          0.5          2.0        0.378        0.953    2.187E-08    5.512E-08       273.20       174.80
        480          0.5          2.0        0.346        0.969    1.553E-08    4.347E-08       301.34       178.66
        512          0.5          2.0        0.315        0.993    9.718E-09    3.064E-08       329.22       182.78
        544          0.5          2.0        0.283        0.973    4.502E-09    1.547E-08       356.79       187.21
        575          0.5          2.0        0.251        0.999    1.278E-10    5.098E-10       383.16       191.84

# E_nn = 0.5 E_site = 3.0
